"日付け","終値","始値","高値","安値","前日比%"
"2017年12月01日","1,241,146","1,153,536","1,296,895","1,018,747","7.59"
"2017年11月30日","1,153,536","1,117,038","1,835,626","1,016,418","3.27"
"2017年11月29日","1,117,038","1,138,710","2,570,511","1,058,304","-1.90"
"2017年11月28日","1,138,710","1,093,657","1,154,135","1,041,355","4.12"
"2017年11月27日","1,093,657","1,022,524","1,114,700","992,004","4.30"
"2017年11月26日","1,048,567","988,444","1,068,771","942,856","6.08"
"2017年11月25日","988,444","948,234","992,509","900,141","4.24"
"2017年11月24日","948,234","907,265","986,503","898,187","2.46"
"2017年11月23日","925,468","945,425","945,570","906,161","-2.11"
"2017年11月22日","945,425","921,410","952,313","898,173","2.61"
"2017年11月21日","921,410","923,098","944,850","900,330","-0.18"
"2017年11月20日","923,098","934,460","944,226","893,333","4.58"
"2017年11月19日","882,652","875,394","885,518","844,793","0.83"
"2017年11月18日","875,394","868,099","889,744","844,136","0.84"
"2017年11月17日","868,099","882,779","892,685","816,931","-1.66"
"2017年11月16日","882,779","845,315","883,367","788,609","4.43"
"2017年11月15日","845,315","801,679","847,555","770,153","5.44"
"2017年11月14日","801,679","791,935","830,950","662,666","1.23"
"2017年11月13日","791,935","714,078","828,713","665,116","10.90"
"2017年11月12日","714,078","785,832","858,565","713,734","-9.13"
"2017年11月11日","785,832","765,882","858,565","751,272","2.60"
"2017年11月10日","765,882","806,632","866,885","751,096","-5.05"
"2017年11月09日","806,632","866,073","890,715","806,285","-6.86"
"2017年11月08日","866,073","827,687","890,823","807,321","4.64"
"2017年11月07日","827,687","797,783","856,412","787,884","3.75"
"2017年11月06日","797,783","844,983","865,141","791,010","-5.59"
"2017年11月05日","844,983","861,002","865,634","818,642","-1.86"
"2017年11月04日","861,002","828,976","889,949","789,065","3.86"
"2017年11月03日","828,976","781,055","904,306","777,738","2.86"
"2017年11月02日","805,927","775,693","869,998","707,769","3.90"
"2017年11月01日","775,693","729,017","787,179","693,575","6.40"
"2017年10月31日","729,017","689,863","733,024","687,718","5.68"
"2017年10月30日","689,863","704,915","718,159","656,695","-2.14"
"2017年10月29日","704,915","663,574","711,090","653,967","6.23"
"2017年10月28日","663,574","662,773","681,126","652,498","0.12"
"2017年10月27日","662,773","672,772","692,997","652,498","0.90"
"2017年10月26日","656,882","661,909","692,724","617,153","-0.76"
"2017年10月25日","661,909","647,263","675,796","630,626","2.26"
"2017年10月24日","647,263","688,504","717,500","635,624","-5.99"
"2017年10月23日","688,504","674,718","699,988","657,828","2.04"
"2017年10月22日","674,718","683,720","705,573","666,582","-1.32"
"2017年10月21日","683,720","680,935","705,656","642,202","0.41"
"2017年10月20日","680,935","639,563","681,990","634,207","6.47"
"2017年10月19日","639,563","638,945","652,154","595,464","0.10"
"2017年10月18日","638,945","634,682","656,831","597,587","0.67"
"2017年10月17日","634,682","646,682","656,551","628,475","-1.86"
"2017年10月16日","646,682","640,736","657,214","613,343","0.93"
"2017年10月15日","640,736","641,376","649,894","613,526","-0.10"
"2017年10月14日","641,376","626,833","679,763","579,459","2.32"
"2017年10月13日","626,833","603,830","679,763","535,514","3.81"
"2017年10月12日","603,830","535,745","608,320","526,535","12.71"
"2017年10月11日","535,745","529,605","579,834","522,659","1.16"
"2017年10月10日","529,605","521,316","543,653","509,183","1.52"
"2017年10月09日","521,692","502,668","539,816","497,525","3.78"
"2017年10月08日","502,668","494,927","513,768","489,213","1.56"
"2017年10月07日","494,927","487,560","495,221","482,922","1.51"
"2017年10月06日","487,560","490,673","496,803","469,707","-0.63"
"2017年10月05日","490,673","480,618","491,379","468,064","2.09"
"2017年10月04日","480,618","487,987","491,477","472,229","-1.51"
"2017年10月03日","487,987","489,139","495,358","478,978","-0.24"
"2017年10月02日","489,139","488,197","493,590","473,007","0.19"
"2017年10月01日","488,197","489,003","489,723","466,627","-0.16"
"2017年09月30日","489,003","470,316","489,723","452,331","3.97"
"2017年09月29日","470,316","470,544","478,241","440,686","-0.05"
"2017年09月28日","470,544","476,947","479,015","420,000","-1.34"
"2017年09月27日","476,947","434,942","477,009","420,000","9.66"
"2017年09月26日","434,942","433,470","449,470","407,805","0.34"
"2017年09月25日","433,470","414,530","443,388","396,764","4.57"
"2017年09月24日","414,530","416,338","421,574","401,735","-0.43"
"2017年09月23日","416,338","394,294","422,969","392,374","5.59"
"2017年09月22日","394,294","415,909","454,851","383,071","-5.20"
"2017年09月21日","415,909","438,642","450,326","402,797","-5.18"
"2017年09月20日","438,642","436,101","452,873","406,024","0.58"
"2017年09月19日","436,101","455,084","464,840","411,921","-4.17"
"2017年09月18日","455,084","403,502","463,320","391,103","12.78"
"2017年09月17日","403,502","421,285","453,675","389,877","-4.22"
"2017年09月16日","421,285","411,332","460,707","309,962","2.42"
"2017年09月15日","411,332","342,929","437,284","309,643","19.95"
"2017年09月14日","342,929","439,264","452,732","340,963","-21.93"
"2017年09月13日","439,264","448,767","478,742","413,917","-2.12"
"2017年09月12日","448,767","455,000","478,932","427,359","-1.37"
"2017年09月11日","455,000","425,296","469,489","423,337","6.98"
"2017年09月10日","425,296","443,040","466,151","423,676","-4.00"
"2017年09月09日","443,040","448,511","508,235","441,611","-1.22"
"2017年09月08日","448,511","505,435","510,906","441,379","-11.26"
"2017年09月07日","505,435","500,224","546,595","458,818","1.04"
"2017年09月06日","500,224","485,331","513,146","433,306","3.07"
"2017年09月05日","485,331","462,501","500,813","433,763","4.94"
"2017年09月04日","462,501","509,136","533,057","448,345","-9.16"
"2017年09月03日","509,136","499,205","585,203","490,638","1.99"
"2017年09月02日","499,205","542,277","585,203","498,505","-7.94"
"2017年09月01日","542,277","522,489","551,743","501,000","3.79"
"2017年08月31日","522,489","505,626","528,648","478,000","3.34"
"2017年08月30日","505,626","503,658","522,031","476,718","0.39"
"2017年08月29日","503,658","477,876","515,583","456,538","5.40"
"2017年08月28日","477,876","469,661","484,351","457,780","1.75"
"2017年08月27日","469,661","514,764","514,764","467,486","-8.76"
"2017年08月26日","514,764","478,010","519,142","464,485","7.69"
"2017年08月25日","478,010","468,366","518,438","452,864","2.06"
"2017年08月24日","468,366","453,553","471,958","444,567","3.27"
"2017年08月23日","453,553","446,019","488,850","414,226","1.69"
"2017年08月22日","446,019","446,634","464,207","412,566","1.34"
"2017年08月21日","440,101","456,978","459,732","439,993","-3.69"
"2017年08月20日","456,978","447,091","458,697","431,401","2.21"
"2017年08月19日","447,091","444,090","478,081","430,219","-5.40"
"2017年08月18日","472,613","470,166","528,676","442,379","0.52"
"2017年08月17日","470,166","474,494","531,332","436,766","-0.91"
"2017年08月16日","474,494","457,008","492,745","424,394","3.83"
"2017年08月15日","457,008","464,508","492,632","424,136","-1.61"
"2017年08月14日","464,508","424,424","493,492","418,000","9.44"
"2017年08月13日","424,424","409,442","460,769","404,136","3.66"
"2017年08月12日","409,442","407,736","430,205","372,097","0.42"
"2017年08月11日","407,736","373,256","407,736","366,727","9.24"
"2017年08月10日","373,256","378,630","403,650","360,402","-1.42"
"2017年08月09日","378,630","379,813","410,703","359,964","-0.31"
"2017年08月08日","379,813","406,790","410,703","326,756","-6.63"
